id,category,created_at,external_games,keywords,name,similar_games,slug,tags,updated_at,url,checksum,cover,first_release_date,involved_companies,platforms,release_dates,screenshots,storyline,summary,videos,websites,age_ratings,aggregated_rating,aggregated_rating_count,game_modes,genres,player_perspectives,rating,rating_count,themes,total_rating,total_rating_count,alternative_names,collection,ports,artworks,follows,franchise,franchises,parent_game,game_engines,multiplayer_modes,status,hypes,dlcs,bundles,expansions,expanded_games,version_parent,version_title,remakes,standalone_expansions,remasters
34320,0,5/26/17 10:47,"[7047, 107734, 1186570]","[117, 994, 1148, 1158, 4134, 4138]",Pro Gamer Manager,"[17111, 17130, 17519, 18623, 29173, 31515, 32457, 33153, 55590, 55689]",pro-gamer-manager,"[268435469, 268435470, 268435488, 536871029, 536871906, 536872060, 536872070, 536875046, 536875050]",7/26/21 11:24,https://www.igdb.com/games/pro-gamer-manager,53864538-69a4-d593-d886-84ec5fdffb44,36198,1461801600,,[6],"[79356, 120088]","[103964, 103965, 103966, 103967, 103968]",,Compete for stardom in this Esport management tycoon.,,"[35282, 35283]",,,,[1],"[13, 14, 32]",,40,0,,40,0,,,,,,,,,,,,,,,,,,,,,
84367,0,1/29/18 0:00,"[130711, 1708480]",,Swamp Monsters,,swamp-monsters,,1/29/18 0:00,https://www.igdb.com/games/swamp-monsters,b2c2afb3-0c2f-c0f9-6141-048e127db40d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70882,0,9/28/17 0:00,"[186425, 1906021]","[117, 1158, 2875, 4134]",Cubistry,"[10141, 10603, 20329, 25222, 54678, 55173, 55190, 56033, 60044]",cubistry--1,"[268435465, 536871029, 536872070, 536873787, 536875046]",8/26/20 0:00,https://www.igdb.com/games/cubistry--1,4e3ff387-82b2-a7b3-ed41-25a47296c1eb,34336,1357862400,,"[6, 39]","[116676, 119586]",,,The original -istry game.,,,,,,,[9],,,,,,,,2942,,,,,,,,,,,,,,,,,,,
97896,0,4/24/18 0:00,"[577350, 1909723]",,Lix,,lix,,8/26/20 0:00,https://www.igdb.com/games/lix,4a3108fa-3c24-27ea-b20f-2f218af1ee68,73112,,,,,[297611],,"Lix is an action-puzzle game inspired by Lemmings (DMA Design, 1991) with singleplayer puzzles, competitive networked multiplayer, and a level editor. 
 
Game is free and open-source software, placed in the public domain via CC0.",,[104216],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23243,0,8/29/16 20:07,"[149529, 1870071]","[1027, 2396, 4260]",Death in the Caribbean,"[13189, 13701, 13706, 25222, 28309, 35994, 45354, 60882, 62151, 69480]",death-in-the-caribbean,"[31, 268435487, 536871939, 536873308, 536875172]",11/14/21 20:19,https://www.igdb.com/games/death-in-the-caribbean,1d006086-c25d-53f1-fadf-f7f21fd1ffdc,16980,441676800,[39008],"[15, 75]","[55825, 55826]","[686744, 686745, 686746]",,"In this graphic text adventure, players must escape an island that appears to be deserted... or is it?",,,,,,[1],[31],"[1, 5]",,,[31],,,,,,,,,,,,,,,,,,,,,,,
80867,0,1/8/18 0:00,[140009],"[444, 563, 1025, 1749, 2069, 2152, 2841, 4246, 4958, 5208, 7568, 12742, 14006]",Night Raid,"[19164, 38030, 57187, 58075, 68286, 68287, 103301, 105049, 120268]",night-raid--1,"[1, 268435461, 268435489, 536871356, 536871475, 536871937, 536872661, 536872981, 536873064, 536873753, 536875158, 536875870, 536876120, 536878480, 536883654, 536884918]",11/7/19 0:00,https://www.igdb.com/games/night-raid--1,fbf48cfe-3a48-b4eb-9fc9-cc85b78fe33e,55664,725760000,"[84563, 84564]",[13],[175991],"[333527, 333528, 333529]",,"Remake of 1982's Paratrooper. 
 
The player controls a gun turret at the bottom of the screen. The turret can swivel to cover a large area of the screen, but cannot move from its base. Helicopters fly across the screen at varying heights, dropping paratroopers. The gun may fire multiple shots at once, and the shots may destroy helicopters or shoot paratroopers. Paratroopers may be disintegrated by a direct hit, or their parachutes may be shot, in which case they will plummet to earth (splattering and dying, killing any paratrooper onto whom they fall). Periodically, jets may fly by and drop bombs; the jets and bombs may be shot as well.",[30043],[116993],,,,[1],"[5, 33]",[4],,,[1],,,,,,,,,,,,,,,,,,,,,,,
4681,0,1/30/14 2:25,"[30016, 153776, 216159, 249319, 1305167, 1743393]","[350, 622, 1166, 1293, 4142, 4382, 5171, 6519]",Asterix at the Olympic Games,"[19164, 20342, 24426, 28070, 55190, 89597, 96217, 105049, 111130, 119305]",asterix-at-the-olympic-games,"[1, 27, 268435464, 268435470, 268435487, 536871262, 536871534, 536872078, 536872205, 536875054, 536875294, 536876083, 536877431]",9/3/21 17:59,https://www.igdb.com/games/asterix-at-the-olympic-games,2b68d0cb-0b36-2850-8a78-0d5017fa102c,100823,1199059200,"[11242, 11243]","[5, 6, 8, 12, 20]","[10640, 10641, 10642, 10643, 10644, 137538]","[152263, 152264, 152265, 152266, 152267, 152268, 152269, 152270, 152271, 152272, 152273, 152274]",,"The game follows Asterix, Obelix and the faithful Dogmatix as they travel to Greece in aid of their lovesick friend Alafolix. Their journey takes them to the Olympic Games where they find themselves pitted against the athletic might of the Roman Empire. Adventure and hilarity ensue as Asterix and friends compete to get the better of Brutus, his muscle-bound champion, and their long-time nemesis, Julius Caesar himself.",,[70071],[19509],70,1,[1],"[8, 14, 31]",[2],45.95401334,6,"[1, 27]",57.97700667,7,,706,,,2,,[58],,,,,,,,,,,,,,
134854,0,6/14/20 0:00,[1956696],,Mochi Making Mischief,,mochi-making-mischief,,11/6/20 0:00,https://www.igdb.com/games/mochi-making-mischief,0cbcc880-19c8-48d5-dee9-7c410098e02d,,,,,,,,"Tewi has divised a plan to make mochi on the moon and sell it to the inhabitants of Gensokyo for New Year... But of course Reisen will be the one on the spotlight. With Seiran's mochi hammering skills they will (attempt to) make the best mochi the universe has ever seen. If the mochi's not good though, Reisen will have to take responsability for this.",,[143846],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74369,0,10/12/17 13:07,"[187434, 580410, 1187361]",,Startup Freak,"[18623, 31515, 33603, 36962, 51577, 55888, 65827, 79134, 102163, 107992]",startup-freak,"[268435469, 268435471, 268435488]",7/26/21 12:43,https://www.igdb.com/games/startup-freak,48aa83cd-f3cf-4f94-925d-c21553ec5117,,1517443200,,[6],[122746],"[129254, 129255, 129256, 129257, 129258]",,"In Startup Freak you take the role of a budding entrepreneur, and grow your very own software startup from humble beginnings to a multi-million dollar company. Along the way you will have to overcome countless challenges. But the ultimate question you must answer: are you a Startup Freak?",,"[59267, 59268]",,,,[1],"[13, 15, 32]",,50,1,,50,1,,,,,3,,,,,,4,,,,,,,,,,
159766,0,8/2/21 9:37,"[2025343, 2079084]",,Tournament Paintball VR,"[25311, 31515, 35994, 36553, 37419, 51577, 55888, 65827, 76263, 79134]",tournament-paintball-vr,"[1, 268435469, 268435470, 268435471, 268435488]",10/29/21 10:01,https://www.igdb.com/games/tournament-paintball-vr,14c5a17c-daf0-3f4f-cd5c-c997815563cd,194973,,,,,"[555947, 555948, 555949, 555950, 555951]",,"Tournament style speedball in VR focusing on realism, and fun.",,,,,,,"[13, 14, 15, 32]",,,,[1],,,,,,,,,,,,,,,,,,,,,,,
61106,0,9/8/17 0:00,"[113557, 1901876]","[151, 1239, 2875, 3831, 4134, 4467, 4510]",Happy Vikings,"[18623, 20329, 20342, 24426, 34155, 36553, 55173, 55190, 56033]",happy-vikings,"[1, 22, 268435465, 536871063, 536872151, 536873787, 536874743, 536875046, 536875379, 536875422]",8/26/20 0:00,https://www.igdb.com/games/happy-vikings,ac1896de-8b45-87fc-5a27-1a84c5a39759,40990,,,,,,,Happy Vikings is an action block matching game from HandyGames.,,,,,,,[9],,,,"[1, 22]",,,,,,,,,,,,,,,,,,,,,,,
102723,0,5/28/18 0:00,"[861019, 1992679]",,Hello Racoon Neighbor,,hello-racoon-neighbor,,11/6/20 0:00,https://www.igdb.com/games/hello-racoon-neighbor,398a307c-37f5-368f-cd9b-e033386f95d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60688,0,9/8/17 0:00,"[112555, 1902366]",,Simon the Sorcerer 6: Between Worlds,,simon-the-sorcerer-6-between-worlds,,8/26/20 0:00,https://www.igdb.com/games/simon-the-sorcerer-6-between-worlds,e5bd95e0-35a2-6c25-eb78-5310b81dfd9a,40492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120626,0,7/11/19 0:00,[1970904],,Dark Tales: Edgar Allan Poe's Murders in the Rue Morgue,"[19222, 26223, 27725, 41349, 51528, 87507, 90788, 95776, 107614]",dark-tales-edgar-allan-poes-murders-in-the-rue-morgue,"[43, 268435465]",11/6/20 0:00,https://www.igdb.com/games/dark-tales-edgar-allan-poes-murders-in-the-rue-morgue,d4950a6b-9451-138d-bd26-bf966b756f5a,76048,1293753600,"[81767, 81768]",[6],[172646],"[319741, 319742, 319743]",,"In 19th century France, detective Auguste Dupin is summoned to Paris, called to investigate the brutal murder of Madame L'Espanaye and the kidnapping of her sister Camille. Along with his assistant, he must search for evidence and use his sharp mind and its powers of deduction to elucidate the case and find the culprit.",,,,,,[1],[9],[4],,,[43],,,,5708,,,,,,,,,,,,,,,,,,,
149613,0,5/26/21 12:16,"[2014914, 2057927]",,Tower of Portal,"[32902, 37419, 40524, 76263, 96217, 105233, 111130, 113895, 119121, 119493]",tower-of-portal,"[1, 268435488]",10/29/21 10:01,https://www.igdb.com/games/tower-of-portal,0ee8752f-4212-3ab4-3211-78e9d4cd3335,194976,,,,,"[469226, 469227, 469228, 469229, 469230, 469231]",,"Tower of Portal is a little Indie FPS Shooter, where you control a soldier with the mission to destroy the AI Central Computer that controls the machines spreads in the city. Your mission is avoid this domination through the machines.",,,,,,,[32],,,,[1],,,,,,,,,,,,,,,,,,,,,,,
91852,0,3/15/18 0:00,"[127445, 1882190]",,Tank Ace,,tank-ace,,8/26/20 0:00,https://www.igdb.com/games/tank-ace,5cb6fec1-b88a-717e-224e-b7cb350199e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165521,0,8/30/21 5:32,[2089269],,Breakage,"[17414, 28277, 30871, 75240, 75948, 103301, 106992, 112416, 114145, 115374]",breakage,[268435487],8/30/21 10:41,https://www.igdb.com/games/breakage,28bbdc71-3565-64a1-32ec-e69a059b1517,173286,1385942400,[146778],[6],[307263],"[596342, 596343, 596344]",,"Something weird has happened. You wake up in a dungeon, and the world seems a mishmash of fantasy, sci-fi and reality. You must find out what has happened and what is going to happen, and perhaps stop it.",,,,,,,[31],,,,,,,,,,,,,,,[31],,,,,,,,,,,,
93231,0,3/16/18 14:32,"[149181, 1721992, 1870266]",,Adagio,,adagio,,6/13/21 9:46,https://www.igdb.com/games/adagio,6ec9d14d-b09c-a5e3-373d-433fa43daf9c,,,,,,"[310473, 310474, 310475, 310476, 310477]",,"A short VR experience, Adagio places the viewer in a dreamy, Celtic landscape in the brief moment of darkness right before dawn. Are they alone or accompanied? Some say that as dawn breaks, you can witness ghosts tasting the morning dew.",,"[109023, 109024]",,,,[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,
